,post_id,party_name,case_number,case_type,case_status,file_date,status_date
0,13749115,"Gilardi, Shauna",1127SU000079,Summary Process,Disposed (Statistical Purposes),20110314,20110324
1,17714364,"Gilardi, Shauna",1427SU000221,Summary Process,Disposed (Statistical Purposes),20140801,20140815
2,2787401,"Gilantzis, Anna",1462SC004273,Small Claims,Disposed (Statistical Purposes),20141231,20150910
3,13749115,"Gilardi, Justin",1127SU000079,Summary Process,Disposed (Statistical Purposes),20110314,20110324
4,17714364,"Gilardi, Justin",1427SU000221,Summary Process,Disposed (Statistical Purposes),20140801,20140815
5,51354848,"Gilardi, Justin",11H79SP001372,Housing Court Summary Process,Active,20110405,20110405
6,996609,"Georgilas, Peter",1449CV000407,Civil,Disposed (Statistical Purposes),20140709,20150305
7,74821076,"Georgilas, Peter",1581CV01383,Torts,Open,20150313,20150629
8,1304944,"Gilardi, Deborah",1350SU000846,Summary Process,Disposed (Statistical Purposes),20131223,20140106
9,79538362,"Gilardi, Deborah",1750SU000419,Summary Process,Disposed (Statistical Purposes),20170717,20170728
10,5101643,"Greenberg, Gila",1149SC001437,Small Claims,Disposed (Statistical Purposes),20111228,20121025
11,5494590,"Georgilas, George",10H85SP001010,Housing Court Summary Process,Closed,20100322,20100331
12,16158483,"Georgilas, George",1142SC000012,Small Claims,Disposed (Statistical Purposes),20110111,20110614
13,16224067,"Georgilas, George",1042SU000006,Summary Process,Disposed (Statistical Purposes),20100305,20100318
14,50573230,"Georgilas, George",13H85SP002843,Housing Court Summary Process,Closed,20130722,20130807
15,50687257,"Georgilas, George",13H85SP002969,Housing Court Summary Process,Closed,20130729,20130814
16,62138310,"Georgilas, George",16H85SP004394,Housing Court Summary Process,Active,20161107,20161107
17,65534756,"Georgilas, George",1642SU000010,Summary Process,Disposed (Statistical Purposes),20160701,20160715
18,70912469,"Georgilas, George",13H85SP001402,Housing Court Summary Process,Closed,20130412,20130501
19,71037023,"Georgilas, George",13H85SP001188,Housing Court Summary Process,Closed,20130328,20130424
20,71173516,"Georgilas, George",13H85SP001072,Housing Court Summary Process,Closed,20130318,20130403
21,72441975,"Georgilas, George",1641SC000325,Small Claims,Pending,20160822,20160822
22,79285301,"Georgilas, George",1742SC000103,Small Claims,Disposed (Statistical Purposes),20170309,20180123
23,79592891,"Georgilas, George",1742SU000018,Summary Process,Disposed (Statistical Purposes),20171003,20171117
24,82068472,"Georgilas, George",2063SC000166,Small Claims,Disposed (Statistical Purposes),20200708,20210601
25,83096785,"Georgilas, George",19H79SP003045,Housing Court Summary Process,Active,20190802,20190802
26,87157954,"Georgilas, George",19H79SP000009,Housing Court Summary Process,Closed,20190104,20190104
27,5933943,National Collegilate Student Loan Trust A Delaware,1125SP000702,Supplementary Process,Disposed (Statistical Purposes),20110325,20110823
28,8361378,National Collegilate Student Loan Trust A Delaware,1025CV002070,Civil,Disposed (Statistical Purposes),20101112,20110124
